130532,平乡县,平乡县,河北,130500,054500
130533,威县,威县,河北,130500,054700
130534,清河县,清河县,河北,130500,054800
130535,临西县,临西县,河北,130500,054900
130581,南宫市,南宫市,河北,130500,055750
130582,沙河市,沙河市,河北,130500,054100
130583,其它区,其它区,河北,130500,
130600,保定市,保定,河北,130000,071000
130602,新市区,新市区,河北,130600,071052
130603,北市区,北市区,河北,130600,071000
130604,南市区,南市区,河北,130600,071000
130621,满城县,满城县,河北,130600,072150
130622,清苑县,清苑县,河北,130600,071100
130623,涞水县,涞水县,河北,130600,074100
130624,阜平县,阜平县,河北,130600,073200
130625,徐水县,徐水县,河北,130600,072550
130626,定兴县,定兴县,河北,130600,072650
130627,唐县,唐县,河北,130600,072350
130628,高阳县,高阳县,河北,130600,071500
130629,容城县,容城县,河北,130600,071700
130630,涞源县,涞源县,河北,130600,074300
130631,望都县,望都县,河北,130600,072450
130632,安新县,安新县,河北,130600,071600
130633,易县,易县,河北,130600,074200
130634,曲阳县,曲阳县,河北,130600,073100
130635,蠡县,蠡县,河北,130600,071400
130636,顺平县,顺平县,河北,130600,072250
130637,博野县,博野县,河北,130600,071300
130638,雄县,雄县,河北,130600,071800
130681,涿州市,涿州市,河北,130600,072750
130682,定州市,定州市,河北,130600,073000
130683,安国市,安国市,河北,130600,071200
130684,高碑店市,高碑店市,河北,130600,074000
130698,高开区,高开区,河北,130600,
130699,其它区,其它区,河北,130600,
130700,张家口市,张家口,河北,130000,075000
130702,桥东区,桥东区,河北,130700,075000
130703,桥西区,桥西区,河北,130700,075061
130705,宣化区,宣化区,河北,130700,075100
130706,下花园区,下花园区,河北,130700,075300
130721,宣化县,宣化县,河北,130700,075100
130722,张北县,张北县,河北,130700,076450
130723,康保县,康保县,河北,130700,076650
130724,沽源县,沽源县,河北,130700,076550
130725,尚义县,尚义县,河北,130700,076750
130726,蔚县,蔚县,河北,130700,075700
130727,阳原县,阳原县,河北,130700,075800
130728,怀安县,怀安县,河北,130700,076150
130729,万全县,万全县,河北,130700,076250
130730,怀来县,怀来县,河北,130700,075400
130731,涿鹿县,涿鹿县,河北,130700,075600
130732,赤城县,赤城县,河北,130700,075500
130733,崇礼县,崇礼县,河北,130700,076350
130734,其它区,其它区,河北,130700,
130800,承德市,承德,河北,130000,067000
130802,双桥区,双桥区,河北,130800,067000
130803,双滦区,双滦区,河北,130800,067000
130804,鹰手营子矿区,鹰手营子矿区,河北,130800,067000
130821,承德县,承德县,河北,130800,067400
130822,兴隆县,兴隆县,河北,130800,067300
130823,平泉县,平泉县,河北,130800,067500
130824,滦平县,滦平县,河北,130800,068250
130825,隆化县,隆化县,河北,130800,068150
130826,丰宁满族自治县,丰宁满族自治县,河北,130800,068350
130827,宽城满族自治县,宽城满族自治县,河北,130800,067600
130828,围场满族蒙古族自治县,围场满族蒙古族自治县,河北,130800,068450
130829,其它区,其它区,河北,130800,
130900,沧州市,沧州,河北,130000,061000
130902,新华区,新华区,河北,130900,061000
130903,运河区,运河区,河北,130900,061000
130921,沧县,沧县,河北,130900,061035
130922,青县,青县,河北,130900,062650
130923,东光县,东光县,河北,130900,061600
130924,海兴县,海兴县,河北,130900,061200
130925,盐山县,盐山县,河北,130900,061300
130926,肃宁县,肃宁县,河北,130900,062350
130927,南皮县,南皮县,河北,130900,061500
130928,吴桥县,吴桥县,河北,130900,061800
130929,献县,献县,河北,130900,062250
130930,孟村回族自治县,孟村回族自治县,河北,130900,061400
130981,泊头市,泊头市,河北,130900,062150
130982,任丘市,任丘市,河北,130900,062550
130983,黄骅市,黄骅市,河北,130900,061100
130984,河间市,河间市,河北,130900,062450
130985,其它区,其它区,河北,130900,
131000,廊坊市,廊坊,河北,130000,065000
131002,安次区,安次区,河北,131000,065000
131003,广阳区,广阳区,河北,131000,065000
131022,固安县,固安县,河北,131000,065500
131023,永清县,永清县,河北,131000,065600
131024,香河县,香河县,河北,131000,065400
131025,大城县,大城县,河北,131000,065900
131026,文安县,文安县,河北,131000,065800
131028,大厂回族自治县,大厂回族自治县,河北,131000,065300
131051,开发区,开发区,河北,131000,
131052,燕郊经济技术开发区,燕郊经济技术开发区,河北,131000,
131081,霸州市,霸州市,河北,131000,065700
131082,三河市,三河市,河北,131000,065200
131083,其它区,其它区,河北,131000,
131100,衡水市,衡水,河北,130000,053000
131102,桃城区,桃城区,河北,131100,053000
131121,枣强县,枣强县,河北,131100,053100
131122,武邑县,武邑县,河北,131100,053400
131123,武强县,武强县,河北,131100,053300
131124,饶阳县,饶阳县,河北,131100,053900
131125,安平县,安平县,河北,131100,053600
131126,故城县,故城县,河北,131100,253800
131127,景县,景县,河北,131100,053500
131128,阜城县,阜城县,河北,131100,053700
131181,冀州市,冀州市,河北,131100,053200
131182,深州市,深州市,河北,131100,053800
131183,其它区,其它区,河北,131100,
140000,山西省,山西,山西,1,
140100,太原市,太原,山西,140000,030000
140105,小店区,小店区,山西,140100,030032
140106,迎泽区,迎泽区,山西,140100,030024
140107,杏花岭区,杏花岭区,山西,140100,030001
140108,尖草坪区,尖草坪区,山西,140100,030003
140109,万柏林区,万柏林区,山西,140100,030027
140110,晋源区,晋源区,山西,140100,030025
140121,清徐县,清徐县,山西,140100,030400
140122,阳曲县,阳曲县,山西,140100,030100
140123,娄烦县,娄烦县,山西,140100,030300
140181,古交市,古交市,山西,140100,030200
140182,其它区,其它区,山西,140100,
140200,大同市,大同,山西,140000,037000
140202,城区,城区,山西,140200,037008
140203,矿区,矿区,山西,140200,037001
140211,南郊区,南郊区,山西,140200,037001
140212,新荣区,新荣区,山西,140200,037002
140221,阳高县,阳高县,山西,140200,038100
140222,天镇县,天镇县,山西,140200,038200
140223,广灵县,广灵县,山西,140200,037500
140224,灵丘县,灵丘县,山西,140200,034400
140225,浑源县,浑源县,山西,140200,037400
140226,左云县,左云县,山西,140200,037100
140227,大同县,大同县,山西,140200,037300
140228,其它区,其它区,山西,140200,
140300,阳泉市,阳泉,山西,140000,045000
140302,城区,城区,山西,140300,045000
140303,矿区,矿区,山西,140300,045000
140311,郊区,郊区,山西,140300,045011
140321,平定县,平定县,山西,140300,045200
140322,盂县,盂县,山西,140300,045100
140323,其它区,其它区,山西,140300,
140400,长治市,长治,山西,140000,046000
140421,长治县,长治县,山西,140400,047100
140423,襄垣县,襄垣县,山西,140400,046200
140424,屯留县,屯留县,山西,140400,046100
140425,平顺县,平顺县,山西,140400,047400
140426,黎城县,黎城县,山西,140400,047600
140427,壶关县,壶关县,山西,140400,047300
140428,长子县,长子县,山西,140400,046600
140429,武乡县,武乡县,山西,140400,046300
140430,沁县,沁县,山西,140400,046400
140431,沁源县,沁源县,山西,140400,046500
140481,潞城市,潞城市,山西,140400,047500
140482,城区,城区,山西,140400,046011
140483,郊区,郊区,山西,140400,046011
140484,高新区,高新区,山西,140400,
140485,其它区,其它区,山西,140400,
140500,晋城市,晋城,山西,140000,048000
140502,城区,城区,山西,140500,048000
140521,沁水县,沁水县,山西,140500,048200
140522,阳城县,阳城县,山西,140500,048100
140524,陵川县,陵川县,山西,140500,048300
140525,泽州县,泽州县,山西,140500,048012
140581,高平市,高平市,山西,140500,048400
140582,其它区,其它区,山西,140500,
140600,朔州市,朔州,山西,140000,036000
140602,朔城区,朔城区,山西,140600,038500
140603,平鲁区,平鲁区,山西,140600,038600
140621,山阴县,山阴县,山西,140600,036900
140622,应县,应县,山西,140600,037600
140623,右玉县,右玉县,山西,140600,037200
140624,怀仁县,怀仁县,山西,140600,038300
140625,其它区,其它区,山西,140600,
140700,晋中市,晋中,山西,140000,030600
140702,榆次区,榆次区,山西,140700,030600
140721,榆社县,榆社县,山西,140700,031800
140722,左权县,左权县,山西,140700,032600
140723,和顺县,和顺县,山西,140700,032700
140724,昔阳县,昔阳县,山西,140700,045300
140725,寿阳县,寿阳县,山西,140700,045400
140726,太谷县,太谷县,山西,140700,030800
140727,祁县,祁县,山西,140700,030900
140728,平遥县,平遥县,山西,140700,031100
140729,灵石县,灵石县,山西,140700,031300
140781,介休市,介休市,山西,140700,032000
140782,其它区,其它区,山西,140700,
140800,运城市,运城,山西,140000,044000
140802,盐湖区,盐湖区,山西,140800,044300
140821,临猗县,临猗县,山西,140800,044100
140822,万荣县,万荣县,山西,140800,044200
140823,闻喜县,闻喜县,山西,140800,043800
140824,稷山县,稷山县,山西,140800,043200
140825,新绛县,新绛县,山西,140800,043100
140826,绛县,绛县,山西,140800,043600
140827,垣曲县,垣曲县,山西,140800,043700
140828,夏县,夏县,山西,140800,044400
140829,平陆县,平陆县,山西,140800,044300
140830,芮城县,芮城县,山西,140800,044600
140881,永济市,永济市,山西,140800,044500
140882,河津市,河津市,山西,140800,043300
140883,其它区,其它区,山西,140800,
140900,忻州市,忻州,山西,140000,034000
140902,忻府区,忻府区,山西,140900,034000
140921,定襄县,定襄县,山西,140900,035400
140922,五台县,五台县,山西,140900,035500
140923,代县,代县,山西,140900,034200
140924,繁峙县,繁峙县,山西,140900,034300
140925,宁武县,宁武县,山西,140900,036700
140926,静乐县,静乐县,山西,140900,035100
140927,神池县,神池县,山西,140900,036100
140928,五寨县,五寨县,山西,140900,036100
140929,岢岚县,岢岚县,山西,140900,036300
140930,河曲县,河曲县,山西,140900,036500
140931,保德县,保德县,山西,140900,036600
140932,偏关县,偏关县,山西,140900,036400
140981,原平市,原平市,山西,140900,034100
140982,其它区,其它区,山西,140900,
141000,临汾市,临汾,山西,140000,041000
141002,尧都区,尧都区,山西,141000,041000
141021,曲沃县,曲沃县,山西,141000,043400
141022,翼城县,翼城县,山西,141000,043500
141023,襄汾县,襄汾县,山西,141000,041500
141024,洪洞县,洪洞县,山西,141000,041600
141025,古县,古县,山西,141000,042400
141026,安泽县,安泽县,山西,141000,042500
141027,浮山县,浮山县,山西,141000,042600
141028,吉县,吉县,山西,141000,042200
141029,乡宁县,乡宁县,山西,141000,042100
141030,大宁县,大宁县,山西,141000,042300
141031,隰县,隰县,山西,141000,041300
141032,永和县,永和县,山西,141000,041400
141033,蒲县,蒲县,山西,141000,041200
141034,汾西县,汾西县,山西,141000,031500
141081,侯马市,侯马市,山西,141000,043000
141082,霍州市,霍州市,山西,141000,031400
141083,其它区,其它区,山西,141000,
141100,吕梁市,吕梁,山西,140000,033000
141102,离石区,离石区,山西,141100,033000
141121,文水县,文水县,山西,141100,032100
141122,交城县,交城县,山西,141100,030500
141123,兴县,兴县,山西,141100,033601
141124,临县,临县,山西,141100,033200
141125,柳林县,柳林县,山西,141100,033300
141126,石楼县,石楼县,山西,141100,032500
141127,岚县,岚县,山西,141100,033500
141128,方山县,方山县,山西,141100,033100
141129,中阳县,中阳县,山西,141100,033400
141130,交口县,交口县,山西,141100,032400
